0	1.092682927	1.092682927	0.9454358251
15728640	1.055276382	1.055276382	0.8399328754
31457280	1.360576923	1.360576923	1.087420932
47185920	1.109452736	1.109452736	0.8684407019
62914560	1.045685279	1.045685279	0.8915532345
78643200	0.7135135135	0.7135135135	0.5393500404
94371840	0.7472527473	0.7472527473	0.6477926441
110100480	0.595505618	0.595505618	0.4907939251
125829120	0.7405405405	0.7405405405	0.586081564
141557760	0.7826086957	0.7826086957	0.6311839627
157286400	1.027322404	1.027322404	1.0212587
173015040	0.7752808989	0.7752808989	0.7680825241
188743680	0.4942528736	0.4942528736	0.4999669694
204472320	0.6574585635	0.6574585635	0.4745595861
220200960	0.5804597701	0.5804597701	0.4934837641
235929600	0.5942857143	0.5942857143	0.4910297385
251658240	0.6534090909	0.6534090909	0.4758840729
267386880	0.5085714286	0.5085714286	0.4999265252
283115520	0.64	0.64	0.48
298844160	0.5942857143	0.5942857143	0.4910297385
314572800	0.4293785311	0.4293785311	0.4949874828
330301440	0.5517241379	0.5517241379	0.4973174173
346030080	0.5714285714	0.5714285714	0.4948716593
361758720	0.4350282486	0.4350282486	0.4957606999
377487360	0.625	0.625	0.4841229183
393216000	0.6214689266	0.6214689266	0.4850209273
408944640	0	0	0
424673280	0	0	0
440401920	0	0	0
456130560	0	0	0
